Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2013	HSA05220 CHRONIC MYELOID LEUKEMIA	57/76	5.312830716848906e-14	5.791678112305271e-12	0	0	6.19427780341486	189.3347073640816	RB1;CDKN1A;CDKN1B;ARAF;PIK3CB;PIK3CG;CRKL;IKBKB;CCND1;MYC;AKT2;AKT3;AKT1;IKBKG;HRAS;MAP2K1;MAP2K2;CHUK;TGFBR1;RUNX1;TGFBR2;BCR;PIK3CA;RAF1;TP53;CRK;HDAC2;CTBP2;SHC1;HDAC1;CTBP1;PIK3R2;PIK3R1;CBL;ACVR1B;RELA;NRAS;E2F1;ABL1;E2F2;MAPK1;E2F3;MAPK3;TGFB2;SMAD4;TGFB1;SMAD3;BAD;CDKN2A;PTPN11;NFKB2;NFKBIA;CDK6;CDK4;MDM2;GRB2;BCL2L1
KEGG_2013	HSA04110 CELL CYCLE	77/115	6.032998033651324e-14	5.791678112305271e-12	0	0	4.1908250026392935	127.56430109875576	RB1;YWHAE;GSK3B;CDKN1A;CDKN1B;MCM7;CCNH;YWHAB;CDC20;CCND3;CDC23;CCND1;YWHAQ;CHEK2;CDC27;EP300;SKP2;YWHAG;SKP1;YWHAH;SMC1A;YWHAZ;CDC25B;RBX1;CCNA2;RBL2;CCNA1;TFDP1;RBL1;CCNE2;CCNE1;MCM3;MCM4;ANAPC5;MCM5;MCM6;TP53;MAD1L1;ANAPC1;ANAPC2;MCM2;HDAC2;PCNA;PRKDC;HDAC1;CUL1;ANAPC10;CCNB3;CCNB2;CCNB1;FZR1;ABL1;E2F1;E2F2;SFN;E2F3;BUB3;BUB1;SMAD2;TGFB2;CREBBP;SMAD4;TGFB1;SMAD3;CDKN2C;CDKN2A;PLK1;CDC7;MAD2L2;CDK6;CDK4;CDC16;CDK2;MDM2;ATM;ATR;MAD2L1
KEGG_2013	HSA05222 SMALL CELL LUNG CANCER	62/87	2.1591722612061333e-13	1.3818702471719252e-11	0	0	5.122253694581281	149.38479859934196	RB1;ITGB1;CDKN1B;LAMC3;LAMC2;PIK3CB;LAMC1;PIK3CG;IKBKB;CCND1;MYC;AKT2;AKT3;AKT1;NOS1;IKBKG;SKP2;PIAS4;PIAS3;APAF1;CHUK;ITGA3;TRAF2;TRAF1;PIAS2;PIAS1;PIK3CA;TRAF4;CCNE2;COL4A2;TRAF3;CCNE1;COL4A4;TRAF6;RARB;ITGA6;TP53;LAMA5;LAMA2;MAX;LAMA1;LAMA3;PIK3R2;PIK3R1;PTGS2;RELA;RXRA;E2F1;E2F2;E2F3;LAMB3;LAMB2;NOS3;FN1;LAMB1;NFKB2;NFKBIA;CDK6;CDK4;CDK2;CYCS;BCL2L1
KEGG_2013	HSA03050 PROTEASOME	22/22	2.1671541483974008e-11	1.0402339912307523e-09	0	0	295724.0	7261509.080015691	PSMD12;PSMD11;PSMD13;PSMA7;PSMA5;PSMB6;PSMB7;PSMA6;PSMB4;PSMA3;PSMD6;PSMA4;PSMB5;PSMC3;PSMB2;PSMA1;PSMB3;PSMA2;PSMD2;PSMB1;PSMC2;PSMD1
KEGG_2013	HSA03010 RIBOSOME	64/98	4.1392557821087686e-11	1.589474220329767e-09	0	0	3.8864472182467074	92.91686923260023	RPL30;RPL3;RPL32;RPL31;RPL34;RPL10L;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS16;RPL18A;RPS18;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;MRPS7;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPL19;RPL41;RPL35A;RPL23A;RPL3L;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23
KEGG_2013	HSA05212 PANCREATIC CANCER	51/73	9.50848543647753e-11	2.679064413469347e-09	0	0	4.781005071461503	110.32767506531242	RB1;ARAF;PIK3CB;PIK3CG;IKBKB;CCND1;AKT2;AKT3;RAC2;AKT1;RAC3;RAC1;IKBKG;JAK1;MAP2K1;CHUK;TGFBR1;TGFBR2;PIK3CA;RAF1;TP53;ARHGEF6;RALA;PIK3R2;PIK3R1;PLD1;ACVR1B;RELA;EGFR;MAPK9;ERBB2;E2F1;E2F2;MAPK1;E2F3;MAPK3;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;BAD;STAT1;CDKN2A;STAT3;VEGFB;NFKB2;CDK6;RAD51;CDK4;BCL2L1
KEGG_2013	HSA04520 ADHERENS JUNCTION	52/75	9.767422340773662e-11	2.679064413469347e-09	0	0	4.663173792753177	107.48328073029718	CTNND1;PTPRM;PTPRJ;WASL;PTPRF;ACTB;ACTG1;RAC2;EP300;RAC3;RAC1;MAP3K7;ACP1;ACTN3;CSNK2A1;ACTN2;ACTN1;CSNK2A2;LMO7;ACTN4;RHOA;TGFBR1;TGFBR2;PARD3;CSNK2B;MET;SSX2IP;SRC;IQGAP1;ACVR1B;EGFR;ERBB2;CTNNA1;MAPK1;CTNNA3;FYN;CTNNA2;WASF1;WASF3;MAPK3;SMAD2;PTPN1;TCF7L2;CREBBP;TCF7L1;SMAD4;YES1;SMAD3;SORBS1;TJP1;CTNNB1;FGFR1
KEGG_2013	HSA05210 COLORECTAL CANCER	54/85	5.959795461805012e-09	1.430350910833203e-07	0	0	3.5918045470777287	68.0224194600775	GSK3B;ARAF;PIK3CB;FZD10;PIK3CG;CCND1;MYC;AKT2;AKT3;RAC2;AKT1;RAC3;RAC1;PDGFRB;MAP2K1;AXIN1;FOS;TGFBR1;TGFBR2;MSH6;MSH2;PIK3CA;MSH3;RAF1;TP53;MET;PIK3R2;PIK3R1;ACVR1B;EGFR;MAPK9;DVL1;DVL2;DVL3;MAPK1;MAPK3;SMAD2;TCF7L2;TGFB2;JUN;TCF7L1;SMAD4;TGFB1;SMAD3;FZD2;BAD;FZD7;FZD6;MLH1;APC;BAX;CYCS;CTNNB1;GRB2
KEGG_2013	HSA05215 PROSTATE CANCER	53/87	6.546804451435115e-08	1.3069672961863637e-06	0	0	3.213021657548492	53.14885218739308	RB1;GSK3B;CDKN1A;CDKN1B;ARAF;PIK3CB;PIK3CG;IKBKB;CCND1;CREB3L1;AKT2;AKT3;AKT1;EP300;IKBKG;HRAS;PDGFRB;MAP2K1;MAP2K2;CHUK;CREB3;CREB1;PIK3CA;CCNE2;CCNE1;RAF1;TP53;ATF4;GSTP1;PIK3R2;PIK3R1;RELA;EGFR;HSP90B1;INS;NRAS;ERBB2;E2F1;E2F2;MAPK1;E2F3;MAPK3;TCF7L2;CREBBP;TCF7L1;BAD;NFKB2;NFKBIA;CDK2;MDM2;CTNNB1;GRB2;FGFR1
KEGG_2013	HSA04115 P53 SIGNALING PATHWAY	44/68	6.807121334303977e-08	1.3069672961863637e-06	0	0	3.776430252788865	62.32133867733669	STEAP3;CDKN1A;CD82;EI24;SERPINE1;RCHY1;THBS1;BBC3;CCNB3;CCNB2;CCND3;CCNB1;CASP8;CCND1;CHEK2;PMAIP1;SFN;BID;GTSE1;RRM2;APAF1;CDKN2A;IGFBP3;SIAH1;TSC2;TNFRSF10B;SERPINB5;CDK6;TP53I3;CCNE2;CCNE1;CDK4;CCNG2;CDK2;CCNG1;MDM2;FAS;BAX;CYCS;ATM;MDM4;TP53;ATR;TP73
