
code	|	taxid	|	primary taxid	|	taxname
1	|	10245	|	10245	|	Vaccinia virus
1	|	157703	|	157703	|	Murine polyomavirus strain A3
1	|	10249	|	10249	|	Vaccinia virus Copenhagen
1	|	154633	|	154633	|	Human herpesvirus 3 VZV-32
1	|	39947	|	39947	|	Oryza sativa Japonica Group
1	|	10254	|	10254	|	Vaccinia virus WR
1	|	268305	|	268305	|	Bovine viral diarrhea virus 1-CP7
1	|	79889	|	79889	|	Bovine herpesvirus type 1.1
1	|	12305	|	12305	|	Cucumber mosaic virus
1	|	12307	|	12307	|	Cucumber mosaic virus (strain FNY)
1	|	11285	|	11285	|	Vesicular stomatitis Indiana virus strain San Juan
1	|	31767	|	31767	|	Hepatitis E virus (strain Burma)
1	|	34839	|	34839	|	Chinchilla lanigera
1	|	31768	|	31768	|	Hepatitis E virus (strain Mexico)
1	|	1235996	|	1235996	|	Human betacoronavirus 2c EMC/2012
1	|	11295	|	11295	|	Rabies virus ERA
1	|	452646	|	452646	|	Neogale vison
1	|	70698	|	70698	|	M28 virus
1	|	648235	|	648235	|	Murine minute virus strain MVM prototype
1	|	648242	|	648242	|	Adeno-associated virus 2 Srivastava/1982
1	|	10298	|	10298	|	Human alphaherpesvirus 1
1	|	10299	|	10299	|	Human alphaherpesvirus 1 strain 17
1	|	356411	|	356411	|	Hepatitis C virus JFH-1
1	|	7227	|	7227	|	Drosophila melanogaster
1	|	34880	|	34880	|	Nyctereutes procyonoides
1	|	10304	|	10304	|	Human alphaherpesvirus 1 strain F
1	|	10306	|	10306	|	Human alphaherpesvirus 1 strain KOS
1	|	387139	|	387139	|	Influenza A virus (A/Aichi/2/1968(H3N2))
1	|	440390	|	440390	|	Influenza A virus (A/Turkey/651242/2006(H5N1))
1	|	59463	|	59463	|	Myotis lucifugus
1	|	37958	|	37958	|	Human papillomavirus 37
1	|	37959	|	37959	|	Human papillomavirus 38
1	|	10315	|	10315	|	Human herpesvirus 2 strain HG52
1	|	10320	|	10320	|	Bovine alphaherpesvirus 1
1	|	59474	|	59474	|	Pipistrellus pipistrellus
1	|	10323	|	10323	|	Bovine herpesvirus type 1.1 (strain Cooper)
1	|	10324	|	10324	|	Bovine herpesvirus type 1.1 (strain P8-2)
1	|	1541205	|	1541205	|	Bat Hp-betacoronavirus/Zhejiang2013
1	|	10326	|	10326	|	Equid alphaherpesvirus 1
1	|	59477	|	59477	|	Rhinolophus affinis
1	|	10329	|	10329	|	Equine herpesvirus type 1 (strain Kentucky A)
1	|	10333	|	10333	|	Equine herpesvirus type 4 (strain 1942)
1	|	10335	|	10335	|	Human alphaherpesvirus 3
1	|	402527	|	402527	|	Influenza A virus (A/chicken/Scotland/1959(H5N1))
1	|	2686049	|	2686049	|	Escherichia virus Lambda_1H12
1	|	10338	|	10338	|	Human herpesvirus 3 strain Dumas
1	|	333923	|	333923	|	Human papillomavirus 5
1	|	211044	|	211044	|	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
1	|	6239	|	6239	|	Caenorhabditis elegans
1	|	1980519	|	1980519	|	Crimean-Congo hemorrhagic fever orthonairovirus
1	|	1263720	|	1263720	|	Betacoronavirus England 1
1	|	10345	|	10345	|	Suid alphaherpesvirus 1
1	|	172148	|	172148	|	Alkhumra hemorrhagic fever virus
1	|	10359	|	10359	|	Human betaherpesvirus 5
1	|	10360	|	10360	|	Human herpesvirus 5 strain AD169
1	|	225400	|	225400	|	Myotis davidii
1	|	10366	|	10366	|	Murid betaherpesvirus 1
1	|	10367	|	10367	|	Murine cytomegalovirus (strain Smith)
1	|	748671	|	748671	|	Lactobacillus crispatus ST1
1	|	10369	|	10369	|	Human herpesvirus 6 (strain GS)
1	|	10370	|	10370	|	Human herpesvirus 6 (strain Uganda-1102)
1	|	269446	|	269446	|	Rous sarcoma virus (strain Schmidt-Ruppin A)
1	|	10376	|	10376	|	Human gammaherpesvirus 4
1	|	10377	|	10377	|	Human herpesvirus 4 strain B95-8
1	|	284812	|	284812	|	Schizosaccharomyces pombe 972h-
1	|	643212	|	643212	|	Influenza A virus (A/Netherlands/602/2009(H1N1))
1	|	39054	|	39054	|	Enterovirus A71
1	|	10383	|	10383	|	Herpesvirus saimiri (strain 11)
1	|	10384	|	10384	|	Herpesvirus saimiri (strain 488)
1	|	10385	|	10385	|	Bovine gammaherpesvirus 4
1	|	10389	|	10389	|	Marek's disease herpesvirus type 1 strain MD5
1	|	10390	|	10390	|	Gallid alphaherpesvirus 2
1	|	9365	|	9365	|	Erinaceus europaeus
1	|	337052	|	337052	|	Deltapapillomavirus 4
1	|	349344	|	349344	|	Bat SARS CoV Rp3/2004
1	|	8355	|	8355	|	Xenopus laevis
1	|	10407	|	10407	|	Hepatitis B virus
1	|	8364	|	8364	|	Xenopus tropicalis
1	|	559292	|	559292	|	Saccharomyces cerevisiae S288C
1	|	293055	|	293055	|	Influenza A virus (A/mallard/Ohio/556/1987(H5N9))
1	|	9407	|	9407	|	Rousettus aegyptiacus
1	|	9408	|	9408	|	Rousettus leschenaultii
1	|	2018513	|	2018513	|	Porcine enteric alphacoronavirus
1	|	75985	|	75985	|	Mannheimia haemolytica
1	|	868565	|	868565	|	Human herpesvirus 8 strain GK18
1	|	11484	|	11484	|	Influenza A virus (A/whale/Maine/1/84(H13N9))
1	|	363744	|	363744	|	Influenza A virus (A/chicken/Kurgan/3/2005(H5N1))
1	|	432370	|	432370	|	Wood mouse herpesvirus
1	|	1280	|	1280	|	Staphylococcus aureus
1	|	10497	|	10497	|	African swine fever virus
1	|	37122	|	37122	|	Human papillomavirus type 6a
1	|	63746	|	63746	|	Hepatitis C virus (isolate H77)
1	|	10515	|	10515	|	Human adenovirus 2
1	|	196889	|	196889	|	Rhinolophus macrotis
1	|	10527	|	10527	|	Human adenovirus D9
1	|	287	|	287	|	Pseudomonas aeruginosa
1	|	10529	|	10529	|	Human adenovirus 31
1	|	10530	|	10530	|	Murine adenovirus 1
1	|	60711	|	60711	|	Chlorocebus sabaeus
1	|	1320	|	1320	|	Streptococcus sp. 'group G'
1	|	9523	|	9523	|	Plecturocebus moloch
1	|	10553	|	10553	|	Fowl aviadenovirus 1
1	|	163134	|	163134	|	Oplegnathus fasciatus
1	|	9534	|	9534	|	Chlorocebus aethiops
1	|	72004	|	72004	|	Bos mutus
1	|	9541	|	9541	|	Macaca fascicularis
1	|	9544	|	9544	|	Macaca mulatta
1	|	1335626	|	1335626	|	Middle East respiratory syndrome-related coronavirus
1	|	420174	|	420174	|	Hepatitis C virus isolate HC-J4
1	|	10579	|	10579	|	Human papillomavirus type 8
1	|	10580	|	10580	|	human papillomavirus 11
1	|	864596	|	864596	|	Bat coronavirus BM48-31/BGR/2008
1	|	10583	|	10583	|	Human papillomavirus type 1a
1	|	10585	|	10585	|	human papillomavirus 31
1	|	512346	|	512346	|	Hepatitis E virus human/g1/India/Hyderabad
1	|	10586	|	10586	|	human papillomavirus 33
1	|	10588	|	10588	|	human papillomavirus 39
1	|	445791	|	445791	|	Rabies virus China/MRV
1	|	10593	|	10593	|	human papillomavirus 45
1	|	10598	|	10598	|	human papillomavirus 58
1	|	11624	|	11624	|	Lymphocytic choriomeningitis virus (strain Armstrong)
1	|	10600	|	10600	|	Human papillomavirus type 6b
1	|	358769	|	358769	|	Classical swine fever virus - Alfort/187
1	|	10614	|	10614	|	Human papillomavirus 3
1	|	10617	|	10617	|	Human papillomavirus 4
1	|	299386	|	299386	|	Equine arteritis virus Bucyrus
1	|	10621	|	10621	|	Human papillomavirus 9
1	|	9598	|	9598	|	Pan troglodytes
1	|	10623	|	10623	|	Kappapapillomavirus 2
