Gene,GO,UniProt
A1CF,GO:0003723,Q9NQ94
A1CF,GO:0003729,Q9NQ94
A1CF,GO:0003727,Q9NQ94
A2M,GO:0002020,P01023
A2ML1,GO:0002020,A8K2U0
AARS2,GO:0003723,Q5JTZ9
AARS2,GO:0004812,Q5JTZ9
AARS2,GO:0016875,Q5JTZ9
AATF,GO:0003723,Q9NY61
AATF,GO:0048156,Q9NY61
ABCA1,GO:0031267,O95477
ABCA1,GO:0008565,O95477
ABCB1,GO:0044389,P08183
ABCB1,GO:0031625,P08183
ABCC4,GO:0015662,O15439
ABCD1,GO:0043531,P33897
ABCE1,GO:0043021,P61221
ABCE1,GO:0043024,P61221
ABCF1,GO:0003723,Q8NE71
ABCF1,GO:0008135,Q8NE71
ABCF3,GO:0050839,Q9NUQ8
ABCF3,GO:0045296,Q9NUQ8
ABI1,GO:0050839,Q8IZP0
ABI1,GO:0045296,Q8IZP0
ABI1,GO:0060090,Q8IZP0
ABI1,GO:0035591,Q8IZP0
ABI2,GO:0044389,Q9NYB9
ABI2,GO:0031625,Q9NYB9
ABI2,GO:0060090,Q9NYB9
ABI2,GO:0031267,Q9NYB9
ABI2,GO:0030674,Q9NYB9
ABI2,GO:0035591,Q9NYB9
ABI2,GO:0070064,Q9NYB9
ABL1,GO:0008022,P00519
ABL1,GO:0004713,P00519
ABL1,GO:0051219,P00519
ABL1,GO:0045309,P00519
ABL1,GO:0004715,P00519
ABL1,GO:0001784,P00519
ABL1,GO:0005080,P00519
ABL1,GO:0046875,P00519
ABL1,GO:0070064,P00519
ABL2,GO:0004713,P42684
ABL2,GO:0051219,P42684
ABL2,GO:0045309,P42684
ABL2,GO:0004715,P42684
ABL2,GO:0001784,P42684
ABT1,GO:0003723,Q9ULW3
ABTB1,GO:0003723,Q969K4
ABTB1,GO:0008135,Q969K4
ABTB1,GO:0003746,Q969K4
ACD,GO:0070182,Q96AP0
ACIN1,GO:0003723,Q9UKV3
ACO1,GO:0003723,P21399
ACO1,GO:0003729,P21399
ACO1,GO:0051539,P21399
ACO2,GO:0051539,Q99798
ACOX1,GO:0047485,Q15067
ACTA1,GO:0043531,A6NL76
ACTB,GO:0048156,P60709
ACTB,GO:0019894,P60709
ACTG1,GO:0044389,P63261
ACTG1,GO:0031625,P63261
ACTN1,GO:0003723,P12814
ACTN1,GO:0050839,P12814
ACTN1,GO:0003725,P12814
ACTN1,GO:0030374,P12814
ACTN1,GO:0017166,P12814
ACTN2,GO:0050839,P35609
ACTN2,GO:0030374,P35609
ACTN3,GO:0050839,A0A087WSZ2
ACTN4,GO:0003723,O43707
ACTN4,GO:0050839,O43707
ACTN4,GO:0047485,O43707
ACTN4,GO:0030374,O43707
ACVR1,GO:0050839,Q04771
ACVR1,GO:0045296,Q04771
ACVR1,GO:0046332,Q04771
ACVR1B,GO:0044389,P36896
ACVR1B,GO:0031625,P36896
ACVR1B,GO:0046332,P36896
ADAM10,GO:0050839,O14672
ADAM15,GO:0050839,Q13444
ADAM17,GO:0050839,P78536
ADAM9,GO:0050839,Q13443
ADAM9,GO:0005080,Q13443
ADAMTSL4,GO:0002020,Q6UY14
ADAP1,GO:0005547,H7C264
ADAR,GO:0003723,P55265
ADAR,GO:0003725,P55265
ADARB1,GO:0003723,P78563
ADARB1,GO:0003729,P78563
ADARB1,GO:0003725,P78563
ADCY6,GO:0005080,O43306
ADRM1,GO:0002020,Q16186
ADRM1,GO:0032182,Q16186
ADRM1,GO:0043130,Q16186
ADRM1,GO:0016504,Q16186
AFF2,GO:0003723,P51816
AFG3L2,GO:0051082,D3DUJ0
AGFG1,GO:0003723,P52594
AGO1,GO:0003723,Q9UL18
AGO1,GO:0003725,Q9UL18
AGO1,GO:0003727,Q9UL18
AGO1,GO:0001098,Q9UL18
AGO1,GO:0001099,Q9UL18
AGO1,GO:0070063,Q9UL18
AGO1,GO:0001047,Q9UL18
AGO1,GO:0001046,Q9UL18
AGO1,GO:0061980,Q9UL18
AGO1,GO:0000993,Q9UL18
AGO1,GO:0035198,Q9UL18
AGO2,GO:0003723,Q9UKV8
AGO2,GO:0003729,Q9UKV8
AGO2,GO:0008022,Q9UKV8
AGO2,GO:0008135,Q9UKV8
AGO2,GO:0003725,Q9UKV8
AGO2,GO:0003727,Q9UKV8
AGO2,GO:0003743,Q9UKV8
AGO2,GO:0001098,Q9UKV8
AGO2,GO:0001099,Q9UKV8
AGO2,GO:0070063,Q9UKV8
AGO2,GO:0001047,Q9UKV8
AGO2,GO:0001046,Q9UKV8
AGO2,GO:0061980,Q9UKV8
AGO2,GO:0000993,Q9UKV8
AGO2,GO:0016891,Q9UKV8
AGO2,GO:0035198,Q9UKV8
AGO3,GO:0003723,Q9H9G7
AGO3,GO:0003725,Q9H9G7
AGO3,GO:0003727,Q9H9G7
AGO3,GO:0061980,Q9H9G7
AGO3,GO:0016891,Q9H9G7
AGO3,GO:0035198,Q9H9G7
AHCYL1,GO:0003723,O43865
AHNAK,GO:0003723,Q09666
AHNAK,GO:0050839,Q09666
AHNAK,GO:0045296,Q09666
AHR,GO:0031072,P35869
AHR,GO:0001098,P35869
AHR,GO:0001099,P35869
AHR,GO:0051879,P35869
AHR,GO:0001091,P35869
AHSA1,GO:0050839,O95433
AHSA1,GO:0045296,O95433
AHSA1,GO:0031072,O95433
AHSA1,GO:0051087,O95433
AHSA1,GO:0060590,O95433
AHSA1,GO:0051879,O95433
AHSA1,GO:0001671,O95433
AIMP1,GO:0003723,Q12904
AIMP2,GO:0060090,Q13155
AKAP1,GO:0003723,Q92667
AKAP11,GO:0019903,Q9UKA4
AKAP13,GO:0060090,Q12802
AKAP13,GO:0031267,Q12802
AKAP13,GO:0035591,Q12802
AKAP13,GO:0032947,Q12802
AKAP17A,GO:0003723,Q02040
AKAP5,GO:0060090,P24588
AKAP5,GO:0019903,P24588
AKAP8,GO:0003723,O43823
AKAP8,GO:0051059,O43823
AKAP8L,GO:0003723,Q9ULX6
AKAP9,GO:0060090,Q99996
AKT1,GO:0019903,P31749
AKT1,GO:0005080,P31749
AKT1,GO:0004712,P31749
AKT1,GO:0005547,P31749
AKT1,GO:0071889,P31749
AKT1,GO:0030235,P31749
ALB,GO:0051087,P02768
ALDH18A1,GO:0003723,P54886
ALDOA,GO:0003723,P04075
ALDOA,GO:0050839,P04075
ALDOA,GO:0045296,P04075
ALG13,GO:0003723,Q9NP73
ALK,GO:0004713,B6D4Y7
ALS2,GO:0031267,Q96Q42
ALYREF,GO:0003723,Q86V81
AMBRA1,GO:0044389,Q9C0C7
AMBRA1,GO:0031625,Q9C0C7
AMFR,GO:0060090,Q9UKV5
AMFR,GO:0030674,Q9UKV5
AMFR,GO:0002020,Q9UKV5
AMFR,GO:0032182,Q9UKV5
AMFR,GO:0051087,Q9UKV5
AMFR,GO:0043130,Q9UKV5
AMFR,GO:1990381,Q9UKV5
ANAPC1,GO:0060090,Q9H1A4
ANAPC2,GO:0044389,Q9UJX6
ANAPC2,GO:0031625,Q9UJX6
ANAPC5,GO:0019903,Q9UJX4
ANGPT4,GO:0030971,Q9Y264
ANK3,GO:0050839,Q12955
ANK3,GO:0045296,Q12955
ANK3,GO:0060090,Q12955
ANK3,GO:0030674,Q12955
ANKFY1,GO:0031267,Q9P2R3
ANKHD1,GO:0003723,Q8IWZ3
ANKLE2,GO:0019903,Q86XL3
ANKRD17,GO:0003723,O75179
ANKRD27,GO:0031267,Q96NW4
ANKS1A,GO:0046875,Q92625
ANKS1B,GO:0046875,Q7Z6G8
ANLN,GO:0050839,H7C1C2
ANLN,GO:0045296,H7C1C2
ANP32A,GO:0003723,P39687
ANP32B,GO:0070063,Q92688
ANXA1,GO:0003723,P04083
ANXA1,GO:0050839,P04083
ANXA1,GO:0045296,P04083
ANXA1,GO:0004386,P04083
ANXA1,GO:0003697,P04083
ANXA1,GO:0003727,P04083
ANXA1,GO:0003678,P04083
ANXA1,GO:0008094,P04083
ANXA1,GO:0098641,P04083
ANXA11,GO:0003723,P50995
ANXA2,GO:0003723,P07355
ANXA2,GO:0050839,P07355
ANXA2,GO:0045296,P07355
ANXA2,GO:0002020,P07355
ANXA2,GO:0098641,P07355
ANXA2P2,GO:0002020,A6NMY6
ANXA4,GO:0051059,P09525
ANXA7,GO:0003723,P20073
ANXA7,GO:0050839,P20073
ANXA8,GO:0005547,P13928
AP1G1,GO:0060090,O43747
AP1G1,GO:0031267,O43747
AP1G1,GO:0030674,O43747
AP1G1,GO:0019894,O43747
AP1M1,GO:0060090,Q9BXS5
AP1M1,GO:0030674,Q9BXS5
AP1M2,GO:0060090,Q9Y6Q5
AP1M2,GO:0030674,Q9Y6Q5
AP2A1,GO:0060090,O95782
AP2A1,GO:0008022,O95782
AP2A1,GO:0030674,O95782
AP2A1,GO:0070325,O95782
AP2A1,GO:0050750,O95782
AP2A2,GO:0060090,O94973
AP2A2,GO:0030674,O94973
AP2A2,GO:0097718,O94973
AP2B1,GO:0060090,P63010
AP2B1,GO:0030674,P63010
AP2B1,GO:0005048,P63010
AP2M1,GO:0060090,Q96CW1
AP2M1,GO:0030674,Q96CW1
AP2M1,GO:0005048,Q96CW1
AP2M1,GO:0070325,Q96CW1
AP2M1,GO:0050750,Q96CW1
AP2S1,GO:0060090,P53680
AP2S1,GO:0030674,P53680
AP3B1,GO:0019903,O00203
APAF1,GO:0031072,O14727
APAF1,GO:0016504,O14727
APAF1,GO:0043531,O14727
APBB1,GO:0044389,O00213
APBB1,GO:0031625,O00213
APBB1,GO:0070325,O00213
APBB1,GO:0050750,O00213
APBB1,GO:0070064,O00213
APBB3,GO:0070325,O95704
APBB3,GO:0050750,O95704
APC,GO:0044389,P25054
APC,GO:0031625,P25054
APCS,GO:0051082,P02743
APEH,GO:0003723,P13798
APEX1,GO:0003723,P27695
APEX1,GO:0003684,P27695
APEX1,GO:0051059,P27695
APEX1,GO:0016891,P27695
APH1A,GO:0060090,Q96BI3
APH1A,GO:0030674,Q96BI3
APH1A,GO:0016504,Q96BI3
APOA1,GO:0031072,P02647
APOA1,GO:0070325,P02647
APOA2,GO:0031072,P02652
APOA2,GO:0070325,P02652
