Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Spectrin	PF00435.24	-	305	415	306	414	2	104	54.25	1.8e-14	4.5e-18	Spectrin repeat
Spectrin	PF00435.24	-	425	528	427	527	3	103	63.77	1.9e-17	4.9e-21	Spectrin repeat
Spectrin	PF00435.24	-	531	639	532	639	2	105	71.78	6.2e-20	1.6e-23	Spectrin repeat
Spectrin	PF00435.24	-	641	745	642	744	2	104	60.42	2.1e-16	5.4e-20	Spectrin repeat
Spectrin	PF00435.24	-	747	850	749	849	3	104	65.59	5.2e-18	1.3e-21	Spectrin repeat
Spectrin	PF00435.24	-	852	956	855	954	4	103	57.39	1.8e-15	4.7e-19	Spectrin repeat
Spectrin	PF00435.24	-	958	1063	960	1063	3	105	60.83	1.6e-16	4.0e-20	Spectrin repeat
Spectrin	PF00435.24	-	1065	1170	1066	1169	2	104	56.27	4.1e-15	1.0e-18	Spectrin repeat
Spectrin	PF00435.24	-	1172	1276	1174	1262	3	91	34.55	2.4e-08	6.0e-12	Spectrin repeat
Spectrin	PF00435.24	-	1278	1381	1279	1379	2	103	53.20	3.7e-14	9.5e-18	Spectrin repeat
Spectrin	PF00435.24	-	1383	1486	1384	1485	2	104	59.35	4.5e-16	1.2e-19	Spectrin repeat
Spectrin	PF00435.24	-	1488	1586	1489	1586	2	105	53.93	2.2e-14	5.6e-18	Spectrin repeat
Spectrin	PF00435.24	-	1588	1692	1589	1692	2	105	65.89	4.2e-18	1.1e-21	Spectrin repeat
Spectrin	PF00435.24	-	1694	1799	1696	1797	3	103	66.95	2.0e-18	5.0e-22	Spectrin repeat
Spectrin	PF00435.24	-	1801	1905	1801	1904	1	104	54.09	2.0e-14	5.0e-18	Spectrin repeat
Spectrin	PF00435.24	-	1908	2011	1910	2010	4	104	52.66	5.5e-14	1.4e-17	Spectrin repeat
Spectrin	PF00435.24	-	2013	2097	2017	2076	5	64	29.25	1.1e-06	2.7e-10	Spectrin repeat
CH	PF00307.34	CL0188	57	162	58	161	2	108	77.54	8.4e-22	2.1e-25	Calponin homology (CH) domain
CH	PF00307.34	CL0188	176	282	177	281	2	108	84.74	4.9e-24	1.2e-27	Calponin homology (CH) domain
PH_9	PF15410.9	CL0266	2220	2328	2222	2327	3	120	61.27	1.1e-16	2.7e-20	Pleckstrin homology domain
PH	PF00169.32	CL0266	2219	2328	2221	2327	3	104	43.42	4.2e-11	1.1e-14	PH domain
