UniProt,PFAM,Count
A0A024R2C5,AAA,1
A0A024R2C5,AAA_lid_3,1
A0A024R2C5,MIT,1
A0A024R2C5,TIP49,1
A0A024R2C5,Vps4_C,1
A0A0A0MSA4,4_1_CTD,1
A0A0A0MSA4,FA,1
A0A0A0MSA4,FERM_C,1
A0A0A0MSA4,FERM_N,1
A0A0A0MSA4,SAB,1
A0A0A0MSI0,AhpC-TSA,1
A0A0A0MSI0,Redoxin,1
A0A0G2JNK3,LRR_6,3
A0A0G2JNK3,NACHT,1
A0A0G2JNK3,NLRC4_HD2,1
A0A0G2JNK3,NOD2_WH,1
A0A0G2JNK3,PYRIN,1
A0A0G2JRN3,Serpin,1
A0A0S2Z3M6,EF-hand_2,1
A0A0S2Z4W4,G-patch,1
A0A0S2Z4W4,G-patch_2,1
A0A0S2Z4W4,OCRE,1
A0A0S2Z4W4,RRM_1,1
A0A0S2Z4W4,zf-RanBP,1
A0A0S2Z5Q9,AAA_5,1
A0A0S2Z5Q9,MCM,1
A0A0S2Z5Q9,MCM_OB,1
A0A0S2Z5Q9,MCM_lid,1
A0A0S2Z5Q9,Mg_chelatase,1
A0A140TA76,FDF,1
A0A140TA76,LSM14,1
A0A140TA76,SM-ATX,1
A6NFN3,Fox-1_C,1
A6NFN3,RRM_1,1
A8K2U0,A2M,1
A8K2U0,A2M_BRD,1
A8K2U0,A2M_recep,1
A8K2U0,MG2,1
A8K2U0,MG3,1
A8K2U0,MG4,1
A8K2U0,SVA,1
A8K2U0,TED_complement,1
B4DEH0,Ribosomal_L10,1
B4DHE8,RRM_1,2
B6D4Y7,Gly_rich,1
B6D4Y7,MAM,1
B6D4Y7,PK_Tyr_Ser-Thr,1
B6D4Y7,Pkinase,1
C7DUW4,Kinase-like,1
C7DUW4,PK_Tyr_Ser-Thr,1
C7DUW4,Pkinase,1
D3DUJ0,AAA,1
D3DUJ0,AAA_lid_3,1
D3DUJ0,FtsH_ext,1
D3DUJ0,Peptidase_M41,1
D3DWL9,CPSF_A,1
D3DWL9,MMS1_N,1
D6R9G8,Ank_2,1
D6R9G8,SNCAIP_SNCA_bd,1
E5RFY4,Cep57_CLD,1
E5RFY4,Cep57_MT_bd,1
E9PNC7,CBFD_NFYB_HMF,1
E9PQZ5,PHD,1
E9PQZ5,Tudor_2,1
E9PRQ7,UBA,1
E9PRQ7,UBX,1
F5GX11,Proteasome,1
H0UI80,TH1,1
H0YFS2,SLC3A2_N,1
H7C1C2,Anillin,1
H7C1C2,PH,1
H7C1L6,Cullin,1
H7C264,PH,1
I6RYK4,VHL_C,1
K7EKX9,PTB,1
K7ES89,DSPc,1
O00178,GTP_EFTU,1
O00214,Gal-bind_lectin,2
O00303,JAB,1
O00303,MitMem_reg,1
O00429,Dynamin_M,1
O00429,Dynamin_N,1
O00429,GED,1
O00487,JAB,1
O00487,MitMem_reg,1
O00487,Prok-JAB,1
O00584,Ribonuclease_T2,1
O14641,DEP,1
O14641,DIX,1
O14641,Dishevelled,1
O14641,Dsh_C,1
O14641,PDZ,1
O14646,CDH1_2_SANT_HL1,1
O14646,Chromo,2
O14646,DUF4208,1
O14646,Helicase_C,1
O14646,ResIII,1
O14646,SNF2-rel_dom,1
O14672,Disintegrin,1
O14672,Pep_M12B_propep,1
O14672,Reprolysin,1
O14672,Reprolysin_2,1
O14672,Reprolysin_3,1
O14672,Reprolysin_4,1
O14672,Reprolysin_5,1
O14909,MAGUK_N_PEST,1
O14909,PDZ,2
O14909,PDZ_6,1
O14964,FYVE,1
O14964,Hrs_helical,1
O14964,VHS,1
