UniProt,PFAM,Count
O00410,HEAT,2
O00410,HEAT_2,1
O00410,HEAT_EZ,1
O00410,Importin_rep_4,1
O00410,Importin_rep_5,1
O00410,Importin_rep_6,1
O00410,Vac14_Fab1_bd,1
O00499,BAR,1
O00499,SH3_1,1
O00499,SH3_2,1
O00499,SH3_9,1
O00584,Ribonuclease_T2,1
O14602,eIF-1a,1
O14965,PK_Tyr_Ser-Thr,1
O14965,Pkinase,1
O14976,PK_Tyr_Ser-Thr,1
O14976,PTEN_C2,1
O14976,Pkinase,1
O15205,ubiquitin,2
O15234,Btz,1
O15350,P53,1
O15350,P53_tetramer,1
O15350,SAM_2,1
O60610,Drf_FH1,1
O60610,Drf_FH3,1
O60610,Drf_GBD,1
O60610,FH2,1
O75037,Kinesin,1
O75037,Microtub_bd,1
O75037,WD40,4
O75179,Ank,17
O75179,Ank_2,12
O75179,Ank_3,4
O75179,Ank_4,12
O75179,Ank_5,4
O75179,KH_1,1
O75607,Nucleoplasmin,1
O75937,DnaJ,1
O94875,SH3_1,3
O94875,SH3_2,3
O94875,SH3_9,3
O94875,Sorb,1
O94913,CID,1
O94972,MATH,1
O94972,zf-B_box,1
O95292,Motile_Sperm,1
O95801,Wheel,1
O96017,FHA,1
O96017,PK_Tyr_Ser-Thr,1
O96017,Pkinase,1
P00973,NTP_transf_2,1
P00973,OAS1_C,1
P01112,Arf,1
P01112,MMR_HSR1,1
P01112,Ras,1
P01112,Roc,1
P02652,ApoA-II,1
P02751,fn1,11
P02751,fn2,2
P02751,fn3,17
P02768,Serum_albumin,3
P02787,Transferrin,2
P04275,C8,4
P04275,TIL,4
P04275,VWA,3
P04275,VWA_2,2
P04275,VWA_N2,1
P04275,VWC,3
P04275,VWD,4
P05107,Integrin_B_tail,1
P05107,Integrin_b_cyt,1
P05107,Integrin_beta,1
P05107,PSI_integrin,1
P05783,Filament,1
P07900,HATPase_c,1
P07900,HATPase_c_3,1
P07900,HSP90,1
P07910,RRM_1,1
P11137,MAP2_projctn,1
P11137,Tubulin-binding,3
P14859,Homeodomain,1
P14859,POU2F1_C,1
P14859,Pou,1
P21333,CH,2
P21333,Filamin,23
P23284,Pro_isomerase,1
P32121,Arrestin_C,1
P32121,Arrestin_N,1
P32243,Homeodomain,1
P32243,TF_Otx,1
P35580,IQ,1
P35580,Myosin_N,1
P35580,Myosin_head,1
P35580,Myosin_tail_1,1
P37231,Hormone_recep,1
P37231,PPARgamma_N,1
P37231,zf-C4,1
P41567,SUI1,1
P46379,BAG6,1
P46379,ubiquitin,1
P47813,eIF-1a,1
P51816,AF-4,1
P51816,AF-4_C,1
P51816,AF4_int,1
P52756,G-patch,1
P52756,G-patch_2,1
P52756,OCRE,1
P52756,RRM_1,1
P52756,zf-RanBP,1
P60002,Elf1,1
P62328,Thymosin,1
P68543,SEP,1
P68543,UBX,1
P98175,G-patch,1
P98175,G-patch_2,1
P98175,OCRE,1
P98175,RRM_1,1
P98175,zf-RanBP,1
Q01082,CAMSAP_CH,1
Q01082,CH,2
Q01082,PH,1
Q01082,PH_9,1
Q01082,Spectrin,17
Q07687,DLL_N,1
Q07687,Homeodomain,1
Q07820,Bcl-2,1
Q08379,GM130_C,1
Q08379,GOLGA2L5,1
Q13112,ANAPC4_WD40,1
Q13112,CAF-1_p60_C,1
Q13112,WD40,3
Q13217,DnaJ,1
Q13217,TPR_1,1
Q13217,TPR_16,2
Q13217,TPR_19,1
Q13217,TPR_21,1
Q13217,TPR_8,2
Q13242,RRM_1,2
Q13243,RRM_1,2
Q13442,PP28,1
Q13526,Rotamase,1
Q13526,Rotamase_3,1
Q13526,WW,1
Q14203,CAP_GLY,1
Q14203,Dynactin,1
Q14554,OST3_OST6,1
Q14554,Thioredoxin,3
Q14554,Thioredoxin_2,3
Q14919,CBFD_NFYB_HMF,1
Q14966,RRM_1,1
Q14966,zf-C2H2_jaz,1
Q15287,RRM_1,1
Q15388,MAS20,1
Q15843,Rad60-SLD,1
Q15843,Ubiquitin_2,1
Q15843,ubiquitin,1
Q16513,HR1,3
Q16513,Kinase-like,1
