UniProt,PFAM,Count
A0A024QZ33,NRP1_C,1
A0A024QZ33,NSRP1_N,1
A0A024R3R5,DUF1295,1
A0A024R3R5,ERG4_ERG24,1
A0A024R3R5,LBR_tudor,1
A0A024RAM2,GST_N_3,1
A0A024RAM2,Glutaredoxin,1
A0A087X2D5,Tim44,1
A0A096LP39,PRY,1
A0A096LP39,Rpr2,1
A0A096LP39,zf-B_box,1
A0A096LP39,zf-C3HC4,1
A0A096LP39,zf-C3HC4_2,1
A0A096LP39,zf-C3HC4_3,1
A0A096LP39,zf-C3HC4_4,1
A0A096LP39,zf-RING_2,1
A0A096LP39,zf-RING_5,1
A0A096LP39,zf-RING_UBOX,1
A0A0B4J1W3,NatA_aux_su,1
A0A0B4J1W3,TPR_8,1
A0AV96,RRM_1,3
A5PLK7,RCC1,4
A5PLK7,RCC1_2,3
A5YKK6,CNOT1_CAF1_bind,1
A5YKK6,CNOT1_HEAT,1
A5YKK6,CNOT1_TTP_bind,1
A5YKK6,DUF3819,1
A5YKK6,Not1,1
A6NL76,Actin,1
B3GQE6,DEAD,1
B3GQE6,Helicase_C,1
B3GQE6,ResIII,1
C9J4N6,Iso_dh,1
C9JMN2,Collagen,1
C9JMN2,Laminin_G_2,1
C9JU56,Ribosomal_L31e,1
D1MGQ2,Globin,1
E5LBD7,PAX,1
E7EV27,C2,1
E9PKT8,NAP,1
F8VNQ3,Ten_N,1
F8VNQ3,Tox-GHH,1
F8W7C6,Ribosomal_L16,1
H3BR35,GTP_EFTU,1
H3BR35,GTP_EFTU_D2,1
H3BR35,GTP_EFTU_D3,1
J3KSI8,Ribosomal_S7,1
K4DIA7,Tetraspanin,1
O00151,DUF4749,1
O00151,LIM,1
O00151,PDZ,1
O00151,PDZ_6,1
O00161,SNAP-25,1
O00203,AP3B1_C,1
O00203,Adaptin_N,1
O00203,Cnd1,1
O00203,SEEEED,1
O00267,KOW,1
O00267,Spt5-NGN,1
O00267,Spt5_N,1
O00268,TAF4,1
O00268,TAFH,1
O00422,SAP18,1
O00762,UQ_con,1
O14492,PH,1
O14492,Phe_ZIP,1
O14492,SH2,1
O14602,eIF-1a,1
O14654,IRS,1
O14657,AAA,1
O14657,Torsin,1
O14907,PDZ,1
O14907,PDZ_2,1
O14907,PDZ_6,1
O14907,Peptidase_M50,1
O14908,PDZ,1
O14933,UQ_con,1
O14967,Calreticulin,1
O15047,N-SET,1
O15047,RRM_1,1
O15047,SET,1
O15069,HYPK_UBA,1
O15069,NAC,1
O15226,G-patch,1
O15226,R3H,1
O15397,Cse1,1
O15397,IBN_N,1
O15400,SNARE,1
O15400,Syntaxin,1
O15400,Syntaxin_2,1
O15514,RNA_pol_Rpb4,1
O15523,DEAD,1
O15523,Helicase_C,1
O15527,HhH-GPD,1
O15527,OGG_N,1
O43159,Methyltransf_11,1
O43159,Methyltransf_8,1
O43251,Fox-1_C,1
O43251,RRM_1,1
O43399,TPD52,2
O43504,LAMTOR5,1
O43583,SUI1,1
O43680,HLH,1
O43719,RRM_1,2
O43795,IQ,2
O43795,Myosin_TH1,1
O43795,Myosin_head,1
O43818,WD40,5
O43823,AKAP95,1
O43865,2-Hacid_dh_C,1
O43865,AdoHcyase,2
O43865,AdoHcyase_NAD,1
O43865,IlvN,1
O43929,AAA,1
O43929,AAA_16,1
O43929,AAA_22,1
O43929,ORC4_C,1
O60244,Med14,1
O60333,DUF3694,1
O60333,FHA,1
O60333,KIF1B,1
O60333,Kinesin,1
O60333,Kinesin_assoc,1
O60333,Microtub_bd,1
O60333,PH,1
O60353,Frizzled,1
O60353,Fz,1
O60493,PX,1
O60678,MTS,1
O60678,Methyltransf_11,1
O60678,Methyltransf_25,1
O60678,Methyltransf_31,1
O60678,Methyltransf_9,1
O60678,PrmA,1
O60812,RRM_1,1
O60884,DnaJ,1
O60884,DnaJ_C,1
O60884,DnaJ_CXXCXGXG,1
O75153,CLU,1
O75153,CLU_N,1
O75153,TPR_10,1
O75153,TPR_12,3
O75153,TPR_MalT,1
O75153,eIF3_p135,1
O75159,SH2,1
O75159,SOCS,1
O75159,SOCS_box,1
O75164,JmjC,1
O75164,JmjN,1
O75164,PHD_2,1
O75164,Tudor_2,2
O75164,zf-HC5HC2H,1
O75164,zf-HC5HC2H_2,1
O75179,Ank,17
O75179,Ank_2,12
O75179,Ank_3,4
O75179,Ank_4,12
O75179,Ank_5,4
O75179,KH_1,1
O75251,Oxidored_q6,1
O75326,Ig_2,1
O75326,PSI,1
O75326,Sema,1
O75381,Pex14_N,1
O75390,Citrate_synt,1
O75525,KH_1,1
O75525,Qua1,1
O75525,Sam68-YY,1
O75528,Ada3,1
O75531,BAF,1
O75691,DRIM,1
O75691,DUF6700,1
O75817,Alba,1
O75817,Rpp20,1
O75821,RRM_1,1
O75821,eIF3g,1
O76003,Glutaredoxin,2
O76003,Phosducin,1
O76003,Thioredoxin,1
O94766,Glyco_transf_43,1
O94905,Band_7,1
O94906,PRP1_N,1
O94906,TPR_8,1
O94972,MATH,1
O94972,zf-B_box,1
O95391,Slu7,1
O95400,GYF,1
O95466,Drf_FH3,1
O95466,Drf_GBD,2
O95466,FH2,1
O95707,RNase_P-MRP_p29,1
O95900,TruB_N,1
O96013,PBD,1
O96013,PK_Tyr_Ser-Thr,1
O96013,Pkinase,1
O96017,FHA,1
O96017,PK_Tyr_Ser-Thr,1
O96017,Pkinase,1
P00558,PGK,1
P00747,DUF1986,1
P00747,Kringle,5
P00747,PAN_1,1
P00747,Trypsin,1
P00747,Trypsin_2,1
P01033,TIMP,1
P01040,Cystatin,1
P01375,TNF,1
P02647,Apolipoprotein,1
P02652,ApoA-II,1
P02743,Pentaxin,1
P03973,WAP,2
P04844,Ribophorin_II,1
P05387,Ribosomal_60s,1
P05455,La,1
P05455,RRM_1,1
P05455,RRM_3,1
P06493,PK_Tyr_Ser-Thr,1
P06493,Pkinase,1
P07910,RRM_1,1
P07947,PK_Tyr_Ser-Thr,1
P07947,Pkinase,1
P07947,SH2,1
P07947,SH3_1,1
P07947,SH3_2,1
P07947,SH3_9,1
P07949,Cadherin,1
P07949,PK_Tyr_Ser-Thr,1
P07949,Pkinase,1
P07949,RET_CLD1,1
P07949,RET_CLD3,1
P07949,RET_CLD4,1
P08183,ABC_ATPase,1
P08183,ABC_membrane,2
P08183,ABC_tran,2
P09012,RRM_1,2
P09012,RRM_5,2
P09913,TPR_8,2
P09936,Peptidase_C12,1
P09958,P_proprotein,1
P09958,Peptidase_S8,1
P09958,S8_pro-domain,1
P0DP23,EF-hand_1,4
P0DP23,EF-hand_4,1
P0DP23,EF-hand_5,4
P0DP23,EF-hand_6,2
P0DP23,EF-hand_7,2
P0DP23,EF-hand_8,3
P0DP23,EF-hand_9,1
P11233,Arf,1
P11233,Ras,1
P11233,Roc,1
P13796,CH,4
P13796,EF-hand_1,1
P13796,EF-hand_5,2
P13796,EF-hand_6,1
P13796,EF-hand_7,1
P13796,EF-hand_8,2
P13798,APEH_N,1
P13798,Abhydrolase_1,1
P13798,DLH,1
P13798,Hydrolase_4,1
P13798,Peptidase_S9,1
P13861,RIIa,1
P13861,cNMP_binding,2
P14678,LSM,1
P14859,Homeodomain,1
P14859,POU2F1_C,1
P14859,Pou,1
P15529,Sushi,4
P15882,C1_1,1
P15882,RhoGAP,1
P15882,SH2,1
P18124,Ribosomal_L30,1
P18124,Ribosomal_L30_N,1
P18827,Syndecan,1
P19174,C2,1
P19174,PI-PLC-X,1
P19174,PI-PLC-Y,1
P19174,SH2,2
P19174,SH3_1,1
P19174,SH3_2,1
P20338,Arf,1
P20338,Ras,1
P20338,Roc,1
P22061,Methyltransf_11,1
P22061,Methyltransf_25,1
P22061,PCMT,1
P22061,Ubie_methyltran,1
P24390,ER_lumen_recept,1
P24723,C1_1,2
P24723,C2,1
P24723,PK_Tyr_Ser-Thr,1
P24723,Pkinase,1
P24723,Pkinase_C,1
P25391,Laminin_B,2
P25391,Laminin_EGF,17
P25391,Laminin_G_1,5
P25391,Laminin_G_2,5
P25391,Laminin_I,1
P25391,Laminin_II,1
P25391,Laminin_N,1
P25791,LIM,2
P26006,FG-GAP,2
P26006,FG-GAP_3,1
P26006,Integrin_alpha2,1
P26599,RRM_1,3
P26599,RRM_5,4
P26599,RRM_8,1
P27105,Band_7,1
P27361,PK_Tyr_Ser-Thr,1
P27361,Pkinase,1
P27448,KA1,1
P27448,Kinase-like,1
P27448,PK_Tyr_Ser-Thr,1
P27448,Pkinase,1
P27448,UBA,1
P27694,REPA_OB_2,1
P27694,Rep-A_N,1
P27694,Rep_fac-A_C,1
P27694,tRNA_anti-codon,1
P27816,Tubulin-binding,4
P30048,1-cysPrx_C,1
P30048,AhpC-TSA,1
P30048,Redoxin,1
P30533,Alpha-2-MRAP_C,1
P30533,Alpha-2-MRAP_N,1
P30626,EF-hand_5,2
P30626,EF-hand_6,1
P30626,EF-hand_8,1
P30876,RNA_pol_Rpb2_1,1
P30876,RNA_pol_Rpb2_2,1
P30876,RNA_pol_Rpb2_3,1
P30876,RNA_pol_Rpb2_4,1
P30876,RNA_pol_Rpb2_5,1
P30876,RNA_pol_Rpb2_6,1
P30876,RNA_pol_Rpb2_7,1
P31323,RIIa,1
P31323,cNMP_binding,2
P32780,BSD,1
P32780,PH_TFIIH,1
P32942,ICAM_N,1
P33316,dUTPase,1
P33947,ER_lumen_recept,1
P34897,SHMT,1
P35244,Rep_fac-A_3,1
P35249,AAA,1
P35249,DNA_pol3_delta2,1
P35249,Rad17,1
P35249,Rep_fac_C,1
P35268,Ribosomal_L22e,1
P35555,EGF,1
P35555,EGF_3,2
P35555,EGF_CA,44
P35555,FXa_inhibition,1
P35555,Fibrillin_U_N,1
P35555,TB,9
P35555,cEGF,14
P35555,hEGF,23
P35670,E1-E2_ATPase,1
P35670,HMA,6
P35670,Hydrolase,1
P35670,Hydrolase_3,1
P36941,TNFR_c6,3
P38159,RBM1CTR,1
P38159,RRM_1,1
P39880,CUT,3
P39880,Homeodomain,1
P40227,Cpn60_TCP1,1
P40937,AAA,1
P40937,AAA_24,1
P40937,DNA_pol3_delta2,1
P40937,Rad17,1
P40937,Rep_fac_C,1
P41743,C1_1,1
P41743,PB1,1
P41743,PK_Tyr_Ser-Thr,1
P41743,Pkinase,1
P41743,Pkinase_C,1
P42226,SH2,1
P42226,STAT6_C,1
P42226,STAT_alpha,1
P42226,STAT_bind,1
P42226,STAT_int,1
P43403,PK_Tyr_Ser-Thr,1
P43403,Pkinase,1
P43403,SH2,2
P43897,EF_TS,1
P45974,UBA,2
P45974,UCH,1
P45974,UCH_1,1
P45974,zf-UBP,1
P45974,zf-UBP_var,1
P46063,DEAD,1
P46063,Helicase_C,1
P46063,RecQ_Zn_bind,1
P46063,ResIII,1
P46087,Methyltr_RsmB-F,1
P46087,Methyltr_RsmF_N,1
P46087,P120R,3
P46100,ADD_ATRX,1
P46100,Helicase_C,1
P46100,SNF2-rel_dom,1
P46459,AAA,2
P46459,AAA_lid_3,1
P46459,CDC48_2,1
P46459,CDC48_N,1
P46781,Ribosomal_S4,1
P46781,S4,1
P47813,eIF-1a,1
P48061,IL8,1
P48741,HSP70,1
P48741,MreB_Mbl,1
P49137,Kdo,1
P49137,PK_Tyr_Ser-Thr,1
P49137,Pkinase,1
P49448,ELFV_dehydrog,1
P49448,ELFV_dehydrog_N,1
P49643,DNA_primase_lrg,1
P49773,DcpS_C,1
P49773,HIT,1
P50991,Cpn60_TCP1,1
P50995,Annexin,4
P51513,KH_1,3
P51513,KH_2,1
P51617,Death,1
P51617,PK_Tyr_Ser-Thr,1
P51617,Pkinase,1
P51813,BTK,1
P51813,PH,1
P51813,PK_Tyr_Ser-Thr,1
P51813,Pkinase,1
P51813,SH2,1
P51816,AF-4,1
P51816,AF-4_C,1
P51816,AF4_int,1
P52294,Arm,8
P52294,Arm_3,1
P52294,HEAT,1
P52294,IBB,1
P52597,RRM_1,2
P52597,zf-RNPHF,1
P52630,SH2,1
P52630,STAT2_C,1
P52630,STAT_alpha,1
P52630,STAT_bind,1
P52630,STAT_int,1
P52926,AT_hook,3
P53680,Clat_adaptor_s,1
P54105,Voldacs,1
P54278,DNA_mis_repair,1
P54278,HATPase_c_3,1
P54278,MutL_C,1
P54619,CBS,3
P54707,Cation_ATPase,1
P54707,Cation_ATPase_C,1
P54707,Cation_ATPase_N,1
P54707,E1-E2_ATPase,1
P54707,Hydrolase,2
P54707,Hydrolase_3,1
P55081,MFAP1,1
P55209,NAP,1
P55265,A_deamin,1
P55265,dsrm,3
P55265,z-alpha,2
P55287,CADH_Y-type_LIR,1
P55287,Cadherin,4
P55854,Rad60-SLD,1
P55854,ubiquitin,1
P56270,zf-C2H2,2
P56270,zf-C2H2_4,2
P56270,zf-C2H2_6,2
P56537,eIF-6,1
P60900,Proteasome,1
P60900,Proteasome_A_N,1
P61247,Ribosomal_S3Ae,1
P61513,Ribosomal_L37ae,1
P61962,WD40,1
P62244,Ribosomal_S8,1
P62263,Ribosomal_S11,1
P62273,Ribosomal_S14,1
P62277,Ribosomal_S13_N,1
P62277,Ribosomal_S15,1
P62304,LSM,1
P62306,LSM,1
P62310,LSM,1
P62424,Ribosomal_L7Ae,1
P62753,Ribosomal_S6e,1
P62851,Ribosomal_S25,1
P62861,Ribosomal_S30,1
P62861,ubiquitin,1
P62891,Ribosomal_L39,1
P62906,Ribosomal_L1,1
P62917,Ribosomal_L2,1
P62917,Ribosomal_L2_C,1
P62945,Ribosomal_L41,1
P62995,RRM_1,1
P78345,Ribosomal_L7Ae,1
P82930,MRP-S34,1
P82932,Ribosomal_S6,1
P84103,RRM_1,1
P98160,EGF,2
P98160,I-set,22
P98160,Ig_2,18
P98160,Ig_3,21
P98160,Laminin_B,3
P98160,Laminin_EGF,10
P98160,Laminin_G_1,3
P98160,Laminin_G_2,3
P98160,Ldl_recept_a,4
P98160,ig,20
P98164,EGF_CA,4
P98164,FXa_inhibition,1
P98164,Ldl_recept_a,34
P98164,Ldl_recept_b,14
P98164,cEGF,1
Q00587,BORG_CEP,1
Q00587,PBD,1
Q00688,BTHB,1
Q00688,FKBP_C,1
Q01813,PFK,2
Q03167,Zona_pellucida,1
Q03181,Hormone_recep,1
Q03181,zf-C4,1
Q04759,C1_1,2
Q04759,PK_Tyr_Ser-Thr,1
Q04759,Pkinase,1
Q04759,Pkinase_C,1
Q04912,PK_Tyr_Ser-Thr,1
Q04912,Pkinase,1
Q04912,Sema,1
Q04912,TIG,2
Q05516,BTB,1
Q05516,zf-C2H2,5
Q05516,zf-C2H2_4,1
Q05516,zf-C2H2_6,2
Q05516,zf-met,1
Q06330,BTD,1
Q06330,LAG1-DNAbind,1
Q06330,TIG_SUH,1
Q07157,Guanylate_kin,1
Q07157,PDZ,3
Q07157,PDZ_6,2
Q07157,SH3_2,1
Q07157,ZU5,1
Q07687,DLL_N,1
Q07687,Homeodomain,1
Q07812,Bcl-2,1
Q12864,Cadherin,5
Q12888,53-BP1_Tudor,1
Q12888,BRCT_3,1
Q12905,DZF,1
Q12907,Bact_lectin,1
Q12907,Lectin_leg-like,1
Q12931,HATPase_c,1
Q12931,HATPase_c_3,1
Q12931,HSP90,1
Q12972,FHA,1
Q13009,PDZ,1
Q13009,PH,2
Q13009,PH_9,1
Q13009,RBD,1
Q13009,RhoGEF,1
Q13009,Tiam_CC_Ex,1
Q13118,zf-C2H2,2
Q13151,RRM_1,2
Q13155,AIMP2_LysRS_bd,1
Q13155,GST_C,1
Q13155,GST_C_3,1
Q13155,Thioredoxin_16,1
Q13217,DnaJ,1
Q13217,TPR_1,1
Q13217,TPR_16,2
Q13217,TPR_19,1
Q13217,TPR_21,1
Q13217,TPR_8,2
Q13242,RRM_1,2
Q13243,RRM_1,2
Q13247,RRM_1,2
Q13308,I-set,7
Q13308,Ig_2,5
Q13308,Ig_3,7
Q13308,PK_Tyr_Ser-Thr,1
Q13308,Pkinase,1
Q13308,ig,4
Q13405,Img2,1
Q13435,DUF382,1
Q13435,PSP,1
Q13435,SAP,1
Q13485,MH1,1
Q13485,MH2,1
Q13576,CH,1
Q13576,IQ,2
Q13576,RasGAP,1
Q13576,RasGAP_C,1
Q13601,KH_8,1
Q13835,Arm,1
Q13895,Bystin,1
Q14160,LRR_8,2
Q14160,PDZ,4
