Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
P60033,Q07954,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q06481-5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9H3Z4-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q92542-2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,O14910,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P35221,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,B1AJQ6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q8J015,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,P11166,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
P60033,Q9Y6M5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",imex:IM-28053|pubmed:32900848,9606,9606,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25645944|imex:IM-28053-1,intact-miscore:0.35,uniprotkb,uniprotkb,Homo sapiens,Homo sapiens
