yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8ND90	Q8ND90	PNMA1_HUMAN	reviewed	Paraneoplastic antigen Ma1 (37 kDa neuronal protein) (Neuron- and testis-specific protein 1)	PNMA1 MA1	Homo sapiens (Human)	353
Q7RTW8	Q7RTW8	OTOAN_HUMAN	reviewed	Otoancorin	OTOA	Homo sapiens (Human)	1153
Q96RN5	Q96RN5	MED15_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Trinucleotide repeat-containing gene 7 protein)	MED15 ARC105 CTG7A PCQAP TIG1 TNRC7	Homo sapiens (Human)	788
Q16610	Q16610	ECM1_HUMAN	reviewed	Extracellular matrix protein 1 (Secretory component p85)	ECM1	Homo sapiens (Human)	540
Q9H9F9	Q9H9F9	ARP5_HUMAN	reviewed	Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16)	ACTR5 ARP5	Homo sapiens (Human)	607
Q8IVF4	Q8IVF4	DYH10_HUMAN	reviewed	Dynein axonemal heavy chain 10 (Axonemal beta dynein heavy chain 10) (Ciliary dynein heavy chain 10)	DNAH10 KIAA2017	Homo sapiens (Human)	4471
P67870	P67870	CSK2B_HUMAN	reviewed	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	Homo sapiens (Human)	215
P01857	P01857	IGHG1_HUMAN	reviewed	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	IGHG1	Homo sapiens (Human)	330
P62837	P62837	UB2D2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 D2 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D2) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D2) (Ubiquitin carrier protein D2) (Ubiquitin-conjugating enzyme E2(17)KB 2) (Ubiquitin-conjugating enzyme E2-17 kDa 2) (Ubiquitin-protein ligase D2) (p53-regulated ubiquitin-conjugating enzyme 1)	UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B	Homo sapiens (Human)	147
P42677	P42677	RS27_HUMAN	reviewed	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1) (Small ribosomal subunit protein eS27)	RPS27 MPS1	Homo sapiens (Human)	84
Q16890	Q16890	TPD53_HUMAN	reviewed	Tumor protein D53 (hD53) (Tumor protein D52-like 1)	TPD52L1	Homo sapiens (Human)	204
