Protein A,Protein B,Method,Publication,Taxid A,Taxid B,Interaction type,Source DB,Interaction identifier,Confidence,Protein A DB,Protein B DB,Taxname A,Taxname B
P52294,K9N643,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29370303|imex:IM-28059,9606,1263720,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641246|imex:IM-28059-15,intact-miscore:0.56,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
O00629,K9N643,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29370303|imex:IM-28059,9606,1263720,"psi-mi:""MI:0914""(association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641427|imex:IM-28059-16,intact-miscore:0.62,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
O00505,K9N643,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29370303|imex:IM-28059,9606,1263720,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641080|imex:IM-28059-9,intact-miscore:0.62,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
P52292,K9N643,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29370303|imex:IM-28059,9606,1263720,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641093|imex:IM-28059-11,intact-miscore:0.56,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
P52294,K9N643,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:29370303|imex:IM-28059,9606,1263720,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641105|imex:IM-28059-13,intact-miscore:0.56,uniprotkb,uniprotkb,Betacoronavirus England 1,Betacoronavirus England 1
Q01196-1,P59633,"psi-mi:""MI:0018""(two hybrid)",pubmed:22253733|imex:IM-28066,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641816|imex:IM-28066-3,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q01196-1,P59633,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:22253733|imex:IM-28066,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641984|imex:IM-28066-7,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q01196-1,P59633,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:22253733|imex:IM-28066,9606,694009,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25641992|imex:IM-28066-9,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
Q01196-1,P59633,"psi-mi:""MI:0663""(confocal microscopy)",pubmed:22253733|imex:IM-28066,9606,694009,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25642010|imex:IM-28066-11,intact-miscore:0.60,uniprotkb,uniprotkb,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus
P61221,P69479,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",pubmed:unassigned2293|imex:IM-27782,9606,11295,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(IntAct)",intact:EBI-25568011|imex:IM-27782-1,intact-miscore:0.50,uniprotkb,uniprotkb,Rabies virus ERA,Rabies virus ERA
