Taxid,Taxname,Species,Size(Kb),num_unique_interactions,num_publications
1263720,Betacoronavirus England 1,Middle East respiratory syndrome-related coronavirus,30.119,573,23
694009,Severe acute respiratory syndrome-related coronavirus,Severe acute respiratory syndrome-related coronavirus,29.274,1155,77
11295,Rabies virus ERA,Rabies lyssavirus,11.916764705882352,3651,2
11137,Human coronavirus 229E,Human coronavirus 229E,27.317,386,5
1235996,Human betacoronavirus 2c EMC/2012,Middle East respiratory syndrome-related coronavirus,30.119,8,4
2697049,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome-related coronavirus,29.274,2296,178
211044,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),Influenza A virus,13.210598540145998,95,7
64320,Zika virus,Zika virus,10.891,1,1
39054,Enterovirus A71,Enterovirus A,7.413,1,1
31631,Human coronavirus OC43,Betacoronavirus 1,30.6348,292,3
277944,Human coronavirus NL63,Human coronavirus NL63,27.553,417,10
284218,Influenza A virus (A/Viet Nam/1203/2004(H5N1)),Influenza A virus,13.210598540145998,311,1
121791,Nipah henipavirus,Nipah henipavirus,18.2182,92,1
256753,SARS coronavirus GZ02,Severe acute respiratory syndrome-related coronavirus,29.274,1,1
641501,Influenza A virus (A/California/04/2009(H1N1)),Influenza A virus,13.210598540145998,4,1
381518,Influenza A virus (A/Wilson-Smith/1933(H1N1)),Influenza A virus,13.210598540145998,134,4
1335626,Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,30.119,3,3
333761,Human papillomavirus type 18,Alphapapillomavirus 7,7.856999999999999,477,44
28285,Human adenovirus 5,Human mastadenovirus C,35.83646666666667,185,25
37296,Human gammaherpesvirus 8,Human gammaherpesvirus 8,137.969,560,3
11116,Hepatitis C virus (isolate Japanese),Hepacivirus C,9.432273809523808,4,4
10299,Human alphaherpesvirus 1 strain 17,Human alphaherpesvirus 1,151.15183333333334,60,12
10377,Human herpesvirus 4 strain B95-8,Human gammaherpesvirus 4,171.72820000000002,837,17
11679,Human immunodeficiency virus type 1 (CLONE 12),Human immunodeficiency virus 1,8.959712328767123,14,9
11676,Human immunodeficiency virus 1,Human immunodeficiency virus 1,8.959712328767123,94,5
11103,Hepacivirus C,Hepacivirus C,9.432273809523808,8,7
28282,Human adenovirus 12,Human mastadenovirus A,33.81999999999999,13,11
10515,Human adenovirus 2,Human mastadenovirus C,35.83646666666667,5,5
10359,Human betaherpesvirus 5,Human betaherpesvirus 5,234.51149999999998,1,1
10298,Human alphaherpesvirus 1,Human alphaherpesvirus 1,151.15183333333334,20,3
10315,Human herpesvirus 2 strain HG52,Human alphaherpesvirus 2,141.19619047619048,2,1
11706,HIV-1 M:B_HXB2R,Human immunodeficiency virus 1,8.959712328767123,296,16
11686,Human immunodeficiency virus type 1 (BRU ISOLATE),Human immunodeficiency virus 1,8.959712328767123,8,4
11678,Human immunodeficiency virus type 1 BH10,Human immunodeficiency virus 1,8.959712328767123,41,3
10579,Human papillomavirus type 8,Betapapillomavirus 1,7.533333333333334,260,9
10376,Human gammaherpesvirus 4,Human gammaherpesvirus 4,171.72820000000002,95,2
11926,Human T-cell lymphotrophic virus type 1 (strain ATK),Primate T-lymphotropic virus 1,9.027999999999999,14,1
333760,Human papillomavirus type 16,Alphapapillomavirus 9,7.9542,384,74
10580,human papillomavirus 11,Alphapapillomavirus 10,7.9542,340,29
10600,Human papillomavirus type 6b,Alphapapillomavirus 10,7.9542,396,13
333923,Human papillomavirus 5,Betapapillomavirus 1,7.533333333333334,188,3
868565,Human herpesvirus 8 strain GK18,Human gammaherpesvirus 8,137.969,7,5
1891762,Human polyomavirus 1,Human polyomavirus 1,5.146999999999999,39,1
10632,JC polyomavirus,Human polyomavirus 2,27.518078683035583,41,2
10586,human papillomavirus 33,Alphapapillomavirus 9,7.9542,170,3
420174,Hepatitis C virus isolate HC-J4,Hepacivirus C,9.432273809523808,5,4
421879,Hepatitis C virus isolate HCR6,Hepacivirus C,9.432273809523808,1,1
356411,Hepatitis C virus JFH-1,Hepacivirus C,9.432273809523808,376,34
63746,Hepatitis C virus (isolate H77),Hepacivirus C,9.432273809523808,200,67
333284,Hepatitis C virus (isolate Con1),Hepacivirus C,9.432273809523808,433,20
11698,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),Human immunodeficiency virus 1,8.959712328767123,74,2
11720,Human immunodeficiency virus type 2 (ISOLATE ROD),Human immunodeficiency virus 2,10.033972972972974,1,1
443241,Human coronavirus HKU1 (isolate N5),Human coronavirus HKU1,29.926000000000002,282,2
10623,Kappapapillomavirus 2,Kappapapillomavirus 2,7.868,1,1
387139,Influenza A virus (A/Aichi/2/1968(H3N2)),Influenza A virus,13.210598540145998,1,1
10249,Vaccinia virus Copenhagen,Vaccinia virus,180.95623076923079,9,4
11696,HIV-1 M:B_MN,Human immunodeficiency virus 1,8.959712328767123,4,1
11105,Hepatitis C virus (isolate BK),Hepacivirus C,9.432273809523808,3,4
10585,human papillomavirus 31,Alphapapillomavirus 9,7.9542,10,6
31553,Papillomavirus sylvilagi (STRAIN KANSAS),Kappapapillomavirus 2,7.868,3,2
10614,Human papillomavirus 3,Alphapapillomavirus 2,7.9542,89,4
10254,Vaccinia virus WR,Vaccinia virus,180.95623076923079,14,7
10245,Vaccinia virus,Vaccinia virus,180.95623076923079,2,3
10370,Human herpesvirus 6 (strain Uganda-1102),Human betaherpesvirus 6A,159.378,1,1
45659,Human adenovirus B3,Human mastadenovirus B,35.03314084507043,4,2
337052,Deltapapillomavirus 4,Deltapapillomavirus 4,7.945,26,20
31531,Vaccinia virus L-IPV,Vaccinia virus,180.95623076923079,7,2
12082,Human poliovirus 1 strain Sabin,Enterovirus C,7.44,2,1
11104,Hepatitis C virus (isolate 1),Hepacivirus C,9.432273809523808,3,3
381512,Influenza A virus (A/New Caledonia/20/1999(H1N1)),Influenza A virus,13.210598540145998,6,1
440390,Influenza A virus (A/Turkey/651242/2006(H5N1)),Influenza A virus,13.210598540145998,12,1
382835,Influenza A virus (A/WSN/1933(H1N1)),Influenza A virus,13.210598540145998,27,1
392809,Influenza A virus (A/Victoria/3/1975(H3N2)),Influenza A virus,13.210598540145998,59,1
11065,Dengue virus 2 Thailand/NGS-C/1944,Dengue virus,10.693166666666665,12,4
402527,Influenza A virus (A/chicken/Scotland/1959(H5N1)),Influenza A virus,13.210598540145998,69,1
363744,Influenza A virus (A/chicken/Kurgan/3/2005(H5N1)),Influenza A virus,13.210598540145998,65,1
644788,Influenza A virus (A/Vietnam/1194/2004(H5N1)),Influenza A virus,13.210598540145998,60,1
380337,Influenza A virus (A/equine/Prague/1/1956(H7N7)),Influenza A virus,13.210598540145998,37,1
329599,Influenza A virus (A/chicken/Guangdong/6/97(H9N2)),Influenza A virus,13.210598540145998,33,1
31647,Hepatitis C virus subtype 1b,Hepacivirus C,9.432273809523808,4,5
11082,West Nile virus,West Nile virus,10.9955,6,2
11059,Dengue virus 1 Nauru/West Pac/1974,Dengue virus,10.693166666666665,1,1
11259,Human respiratory syncytial virus A2,Human orthopneumovirus,15.223500000000001,37,4
11060,Dengue virus 2,Dengue virus,10.693166666666665,30,2
172148,Alkhumra hemorrhagic fever virus,Kyasanur Forest disease virus,10.376,38,1
11078,Kunjin virus (STRAIN MRM61C),West Nile virus,10.9955,37,1
11084,Tick-borne encephalitis virus,Tick-borne encephalitis virus,8.589333333333332,33,1
11072,Japanese encephalitis virus,Japanese encephalitis virus,10.975999999999999,6,1
11053,Dengue virus 1,Dengue virus,10.693166666666665,11,1
10583,Human papillomavirus type 1a,Mupapillomavirus 1,7.815,158,5
37122,Human papillomavirus type 6a,Alphapapillomavirus 10,7.9542,42,1
10621,Human papillomavirus 9,Betapapillomavirus 2,7.3858,144,2
333763,Human papillomavirus type 32,Alphapapillomavirus 1,7.9542,71,2
